name,NSE Code,BSE Code,Sector,industry,revenue,operating expenses,operating profit,Operating Profit Margin,Depreciation,Interest,Profit Before Tax,Tax,Net Profit,EPS,Profit TTM,EPS TTM
Vodafone Idea Ltd.,IDEA,532822,TELECOM SERVICES,TELECOM SERVICES,"10,750.80","6,433.50","4,282.80",39.97%,"5,667.30","6,569","-7,919",817.7,"-8,737.90",-1.8,"-30,986.80",-6.4
India Cements Ltd.,INDIACEM,530005,CEMENT AND CONSTRUCTION,CEMENT & CEMENT PRODUCTS,"1,272.40","1,260",4.4,0.35%,55,60.4,-103,-17.4,-80.1,-2.6,-261.1,-8.4
Indiabulls Housing Finance Ltd.,IBULHSGFIN,535789,BANKING AND FINANCE,HOUSING FINANCE,"2,242.30",190.6,"1,779.20",79.88%,22.9,"1,349.80",421.6,123.6,298,6.5,"1,146",24.3
Indian Bank,INDIANB,532814,BANKING AND FINANCE,BANKS,"15,929.40","3,599.10","4,327.70",31.44%,0,"8,002.60","2,776.70",768.6,"2,068.50",16.6,"6,893.30",55.3
Indian Hotels Company Ltd.,INDHOTEL,500850,HOTELS RESTAURANTS & TOURISM,HOTELS,"1,480.90","1,078.40",354.8,24.75%,111.2,59,232.2,72.3,166.9,1.2,"1,100.30",7.7
Indian Oil Corporation Ltd.,IOC,530965,OIL & GAS,OIL MARKETING & DISTRIBUTION,"179,752.10","156,013.10","23,328.40",13.01%,"3,609.60","2,135","18,090.20","4,699.70","13,114.30",9.5,"38,614.30",27.3
Indian Overseas Bank,IOB,532388,BANKING AND FINANCE,BANKS,"6,941.50","1,785.10","1,679.80",28.84%,0,"3,476.60",635.5,8.3,627.2,0.3,"2,341.90",1.2
Indraprastha Gas Ltd.,IGL,532514,UTILITIES,UTILITIES,"3,520.20","2,801.60",656.9,18.99%,102.2,2.5,613.9,151.4,552.7,7.9,"1,806.20",25.8
IndusInd Bank Ltd.,INDUSINDBK,532187,BANKING AND FINANCE,BANKS,"13,529.70","3,449.90","3,908.70",34.75%,0,"6,171.10","2,934.90",732.9,"2,202.20",28.4,"8,333.70",107.2
Info Edge (India) Ltd.,NAUKRI,532777,SOFTWARE & SERVICES,INTERNET SOFTWARE & SERVICES,792,421.2,204.7,32.70%,25.9,8.2,382.8,68.7,205.1,15.9,-25.6,-2
InterGlobe Aviation Ltd.,INDIGO,539448,TRANSPORTATION,AIRLINES,"15,502.90","12,743.60","2,200.30",14.72%,"1,549","1,021.30",189.1,0.2,188.9,4.9,"5,621.30",145.7
Ipca Laboratories Ltd.,IPCALAB,524494,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,"2,072.50","1,712.70",321.3,15.80%,90.3,44.1,225.4,87.9,145.1,5.7,492.2,19.4
J B Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,506943,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,889.4,638.2,243.5,27.62%,32.2,10.4,208.7,58.1,150.6,9.7,486.6,31.4
JK Cement Ltd.,JKCEMENT,532644,CEMENT AND CONSTRUCTION,CEMENT & CEMENT PRODUCTS,"2,782.10","2,285.80",467,16.96%,137.1,115,244.2,65.7,178.1,23.1,444,57.5
JK Lakshmi Cement Ltd.,JKLAKSHMI,500380,CEMENT AND CONSTRUCTION,CEMENT & CEMENT PRODUCTS,"1,588.50","1,357.30",217.3,13.80%,56.6,33.6,141,45.1,92.7,7.9,357.6,30.4
JM Financial Ltd.,JMFINANCIL,523405,DIVERSIFIED,HOLDING COMPANIES,"1,214",407.9,662.6,55.34%,13.2,388.1,277.9,72.4,194.9,2,608.1,6.4
JSW Energy Ltd.,JSWENERGY,533148,UTILITIES,ELECTRIC UTILITIES,"3,387.40","1,379","1,880.40",57.69%,408.7,513.7,"1,085.90",235.1,850.2,5.2,"1,591.70",9.7
JSW Steel Ltd.,JSWSTEEL,500228,METALS & MINING,IRON & STEEL/INTERM.PRODUCTS,"44,821","36,698","7,886",17.69%,"2,019","2,084","4,609","1,812","2,760",11.4,"9,252",38.1
Jindal Stainless Ltd.,JSL,532508,METALS & MINING,IRON & STEEL/INTERM.PRODUCTS,"9,829","8,566.50","1,230.60",12.56%,221.9,155.6,985.7,229.1,774.3,9.4,"2,600.20",31.6
Jindal Steel & Power Ltd.,JINDALSTEL,532286,METALS & MINING,IRON & STEEL/INTERM.PRODUCTS,"12,282","9,964.50","2,285.70",18.66%,603.7,329.4,"1,384.50",-5.8,"1,387.80",13.8,"4,056",40.4
Jubilant Foodworks Ltd.,JUBLFOOD,533155,HOTELS RESTAURANTS & TOURISM,RESTAURANTS,"1,375.70","1,091.40",277.2,20.25%,141.9,56.8,85.5,23.3,97.2,1.5,235,3.6
Just Dial Ltd.,JUSTDIAL,535648,SOFTWARE & SERVICES,INTERNET SOFTWARE & SERVICES,318.5,211.8,48.8,18.71%,12.2,2.4,92.1,20.3,71.8,8.4,314.1,36.9
Jyothy Labs Ltd.,JYOTHYLAB,532926,FMCG,PERSONAL PRODUCTS,745.6,597,135.4,18.48%,12.3,1.2,135.1,31.1,104.2,2.8,326.9,8.9
KRBL Ltd.,KRBL,530813,FMCG,PACKAGED FOODS,"1,246.50","1,018.90",194.5,16.03%,19.9,0.8,206.8,53.6,153.3,6.5,671.4,29.3
Kajaria Ceramics Ltd.,KAJARIACER,500233,DIVERSIFIED CONSUMER SERVICES,FURNITURE-FURNISHING-PAINTS,"1,129.90",941.9,179.7,16.02%,36.1,4.3,147.7,36.6,108,6.8,397.8,25
Kalpataru Projects International Ltd.,KPIL,522287,UTILITIES,ELECTRIC UTILITIES,"4,530","4,148",370,8.19%,113,137,132,42,89,5.5,478,29.9
Kansai Nerolac Paints Ltd.,KANSAINER,500165,DIVERSIFIED CONSUMER SERVICES,FURNITURE-FURNISHING-PAINTS,"1,978.60","1,683.30",273.2,13.97%,47.4,7.6,240.3,64.8,177.2,2.2,"1,118.80",13.8
Karur Vysya Bank Ltd.,KARURVYSYA,590003,BANKING AND FINANCE,BANKS,"2,336",616.4,637.9,31.94%,0,"1,081.70",511.5,133.1,378.4,4.7,"1,364.20",17
KEC International Ltd.,KEC,532714,GENERAL INDUSTRIALS,HEAVY ELECTRICAL EQUIPMENT,"4,514.90","4,224.70",274.3,6.10%,46.5,177.8,65.8,9.9,55.8,2.2,187.9,7.3
Kotak Mahindra Bank Ltd.,KOTAKBANK,500247,BANKING AND FINANCE,BANKS,"21,559.50","9,681","6,343",46.24%,0,"5,535.50","5,888.30","1,465.50","4,461",22.4,"17,172.70",86.4
L&T Finance Holdings Ltd.,L&TFH,533519,DIVERSIFIED,HOLDING COMPANIES,"3,482.10",935.3,"1,882.40",58.57%,28.3,"1,324.90",797.4,203.2,595.1,2.4,"2,080.80",8.4
L&T Technology Services Ltd.,LTTS,540115,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,"2,427.70","1,910.90",475.6,19.93%,68.1,12.6,436.1,120.2,315.4,29.8,"1,239.70",117.5
LIC Housing Finance Ltd.,LICHSGFIN,500253,BANKING AND FINANCE,HOUSING FINANCE,"6,765.90",250.6,"6,095.70",90.10%,13.2,"4,599.90","1,483",291.2,"1,193.50",21.7,"4,164.50",75.7
Lakshmi Machine Works Ltd.,LAXMIMACH,500252,GENERAL INDUSTRIALS,INDUSTRIAL MACHINERY,"1,355.50","1,184.50",136,10.30%,23.6,0,147.4,32.3,115.1,107.8,416,389.5
Laurus Labs Ltd.,LAURUSLABS,540222,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,"1,226.20","1,036.60",187.9,15.34%,93.4,42.4,53.9,14.6,37,0.7,367.8,6.8
Lupin Ltd.,LUPIN,500257,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,"5,079","4,120.80",917.8,18.21%,247.8,80.6,629.7,134.3,489.5,10.8,"1,331.20",29.2
MMTC Ltd.,MMTC,513377,COMMERCIAL SERVICES & SUPPLIES,COMMODITY TRADING  & DISTRIBUTION,-167.2,-180.1,-30.4,14.42%,0.8,1.1,12.1,1.5,52,0.3,174.1,1.2
MRF Ltd.,MRF,500290,AUTOMOBILES & AUTO COMPONENTS,AUTO TYRES & RUBBER PRODUCTS,"6,287.80","5,060.20","1,156.90",18.61%,351.5,85.5,790.6,203.9,586.7,1383.3,"1,690.90",3988
Mahanagar Gas Ltd.,MGL,539957,UTILITIES,UTILITIES,"1,772.70","1,250.10",478.9,27.70%,65.8,2.5,454.3,115.8,338.5,34.3,"1,147.80",116.2
Mahindra & Mahindra Financial Services Ltd.,M&MFIN,532720,BANKING AND FINANCE,FINANCE (INCLUDING NBFCS),"3,863.50","1,077.50","2,109.30",55.03%,67.1,"1,703.40",369.1,96,281.1,2.3,"1,982.50",16
Mahindra & Mahindra Ltd.,M&M,500520,AUTOMOBILES & AUTO COMPONENTS,CARS & UTILITY VEHICLES,"35,027.20","28,705.90","5,729.60",16.64%,"1,138.60","1,835.20","3,347.50","1,083.70","2,347.80",21.1,"11,169.40",100.2
Mahindra Holidays & Resorts India Ltd.,MHRIL,533088,HOTELS RESTAURANTS & TOURISM,HOTELS,672.2,519.3,136,20.76%,83.8,33.3,35.8,14,21.3,1.1,66,3.3
Manappuram Finance Ltd.,MANAPPURAM,531213,BANKING AND FINANCE,FINANCE (INCLUDING NBFCS),"2,174",555.6,"1,481.30",68.68%,62.5,689.4,746.7,186.1,558.4,6.6,"1,859.80",22
Mangalore Refinery And Petrochemicals Ltd.,MRPL,500109,OIL & GAS,REFINERIES/PETRO-PRODUCTS,"22,904.70","20,705.60","2,138.20",9.36%,296,311.2,"1,592",546.2,"1,051.70",6,"3,784.90",21.6
Marico Ltd.,MARICO,531642,FMCG,PERSONAL PRODUCTS,"2,514","1,979",497,20.07%,39,20,476,116,353,2.7,"1,410",10.9
Maruti Suzuki India Ltd.,MARUTI,532500,AUTOMOBILES & AUTO COMPONENTS,CARS & UTILITY VEHICLES,"37,902.10","32,282.50","4,790.30",12.92%,794.4,35.1,"4,790.10","1,083.80","3,764.30",124.6,"11,351.80",375.9
Max Financial Services Ltd.,MFSL,500271,BANKING AND FINANCE,LIFE INSURANCE,"10,189.10","10,024.60",143.9,1.42%,0.8,9.4,158.2,-12.1,147.9,4.3,506.4,14.7
UNO Minda Ltd.,UNOMINDA,532539,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,"3,630.20","3,219.80",401.6,11.09%,125.4,27.2,257.9,73.3,225,3.9,742.4,13
Motilal Oswal Financial Services Ltd.,MOTILALOFS,532892,BANKING AND FINANCE,OTHER FINANCIAL SERVICES,"1,650.70",724.1,904.5,55.18%,17.3,241.1,657.6,124.2,531.2,35.9,"1,449.30",97.8
MphasiS Ltd.,MPHASIS,526299,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,"3,325.50","2,680.90",595.6,18.18%,89,34,521.7,129.7,391.9,20.8,"1,605.60",85.1
Muthoot Finance Ltd.,MUTHOOTFIN,533398,BANKING AND FINANCE,FINANCE (INCLUDING NBFCS),"3,631.90",723.4,"2,801.60",77.69%,22.2,"1,335","1,470.20",374.9,"1,059.60",26.4,"3,982.90",99.2
Natco Pharma Ltd.,NATCOPHARM,524816,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,"1,060.80",573.4,458,44.41%,43.6,4.2,439.6,70.6,369,20.6,"1,127.40",63
NBCC (India) Ltd.,NBCC,534309,CEMENT AND CONSTRUCTION,CONSTRUCTION & ENGINEERING,"2,129.10","1,957.70",95.5,4.65%,1.3,0,104.6,22.9,79.6,0.4,332.2,1.8
NCC Ltd.,NCC,500294,CEMENT AND CONSTRUCTION,CONSTRUCTION & ENGINEERING,"4,746.40","4,415.90",303.7,6.44%,53.2,153.5,123.8,38.8,77.3,1.2,599.4,9.5
NHPC Ltd.,NHPC,533098,UTILITIES,ELECTRIC UTILITIES,"3,113.80","1,173.90","1,757.40",59.95%,294.9,104.8,"1,618.30",-75,"1,545.80",1.5,"3,897.80",3.9
Coforge Ltd.,COFORGE,532541,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,"2,285.10","1,935.30",340.9,14.98%,77.2,31.9,240.7,52.8,187.9,29.6,696.2,113.2
NLC India Ltd.,NLCINDIA,513683,UTILITIES,ELECTRIC UTILITIES,"3,234","2,143",834.6,28.03%,455.1,213.9,"1,700.60",614.7,"1,084.70",7.8,"1,912.30",13.8
NTPC Ltd.,NTPC,532555,UTILITIES,ELECTRIC UTILITIES,"45,384.60","32,303.20","12,680.20",28.19%,"4,037.70","2,920.50","6,342.90","2,019.70","4,614.60",4.8,"19,125.20",19.7
Narayana Hrudayalaya Ltd.,NH,539551,DIVERSIFIED CONSUMER SERVICES,HEALTHCARE FACILITIES,"1,323.60",997.1,308.1,23.61%,55.3,22.9,248.4,21.7,226.6,11.2,737.5,36.1
National Aluminium Company Ltd.,NATIONALUM,532234,METALS & MINING,ALUMINIUM AND ALUMINIUM PRODUCTS,"3,112","2,646.90",396.5,13.03%,186.2,4,275,68.7,187.3,1,"1,272.40",6.9
Navin Fluorine International Ltd.,NAVINFLUOR,532504,CHEMICALS & PETROCHEMICALS,COMMODITY CHEMICALS,494.9,373.4,98.3,20.84%,24.2,20,77.2,16.6,60.6,12.2,365,73.7
Oberoi Realty Ltd.,OBEROIRLTY,533273,REALTY,REALTY,"1,243.80",579.2,638.2,52.42%,11.3,56.5,596.8,142.1,456.8,12.6,"1,961.30",53.9
Oil And Natural Gas Corporation Ltd.,ONGC,500312,OIL & GAS,EXPLORATION & PRODUCTION,"149,388.50","118,618.40","28,255.30",19.24%,"6,698.10","2,603.30","21,564.90","5,633.60","13,734.10",10.9,"43,072.50",34.2
Oil India Ltd.,OIL,533106,OIL & GAS,EXPLORATION & PRODUCTION,"9,200.10","5,293.30","3,523.20",39.96%,499,278.9,762,67.6,420.7,3.9,"5,874.50",54.2
Oracle Financial Services Software Ltd.,OFSS,532466,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,"1,509.60",886.4,558.1,38.64%,19,8,596.2,178.8,417.4,48.2,"1,835.10",211.9
PI Industries Ltd.,PIIND,523642,CHEMICALS & PETROCHEMICALS,AGROCHEMICALS,"2,163.80","1,565.50",551.4,26.05%,80.3,7.8,510.2,31.7,480.5,31.7,"1,495.80",98.4
PNB Housing Finance Ltd.,PNBHOUSING,540173,BANKING AND FINANCE,HOUSING FINANCE,"1,779.40",158.8,"1,574.10",88.54%,11.3,"1,057.30",507.1,124.1,383,14.8,"1,278.70",49.3
PNC Infratech Ltd.,PNCINFRA,539150,CEMENT AND CONSTRUCTION,ROADS & HIGHWAYS,"1,932.40","1,511.60",399.8,20.92%,40.9,161.3,218.6,70.7,147.9,5.8,614.3,23.9
PVR INOX Ltd.,PVRINOX,532689,RETAILING,SPECIALTY RETAIL,"2,023.70","1,293.10",706.8,35.34%,308.6,200.3,221.7,55.5,166.3,17,-232.5,-23.7
Page Industries Ltd.,PAGEIND,532827,TEXTILES APPARELS & ACCESSORIES,OTHER APPARELS & ACCESSORIES,"1,126.80",891.6,233.5,20.76%,24.6,11.2,199.4,49.1,150.3,134.7,510.7,457.9
Persistent Systems Ltd.,PERSISTENT,533179,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,"2,449","2,006.50",405.2,16.80%,74.4,12.3,355.8,92.5,263.3,35,981.5,127.6
Petronet LNG Ltd.,PETRONET,532522,OIL & GAS,OIL MARKETING & DISTRIBUTION,"12,686.20","11,317.90","1,214.70",9.69%,194.8,74.7,"1,098.80",283.9,855.7,5.7,"3,490.30",23.3
Pfizer Ltd.,PFIZER,500680,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,611.3,392.6,182.6,31.75%,15.4,2.7,200.5,51.6,149,32.6,522.8,114.3
Phoenix Mills Ltd.,PHOENIXLTD,503100,REALTY,REALTY,906.6,361.2,506,57.82%,65.9,96.5,375.2,71.4,252.6,14.2,923.6,51.7
Pidilite Industries Ltd.,PIDILITIND,500331,CHEMICALS & PETROCHEMICALS,SPECIALTY CHEMICALS,"3,107.60","2,396.30",679.7,22.10%,75.2,13.1,623,163.1,450.1,8.8,"1,505.50",29.6
Power Finance Corporation Ltd.,PFC,532810,BANKING AND FINANCE,FINANCE (INCLUDING NBFCS),"22,403.70",315.4,"22,941.90",102.46%,12.7,"14,313.10","8,628.80","2,000.60","4,833.10",14.7,"17,946.40",54.4
Power Grid Corporation of India Ltd.,POWERGRID,532898,UTILITIES,ELECTRIC UTILITIES,"11,530.40","1,358.70","9,908.40",87.94%,"3,277","2,341.30","4,393.40",573.7,"3,781.40",4.1,"15,344.40",16.5
Prestige Estates Projects Ltd.,PRESTIGE,ASM,REALTY,REALTY,"3,256","1,643.90",592.5,26.49%,174.1,263.9,"1,174.10",256.4,850.9,21.2,"1,714",42.8
Prism Johnson Ltd.,PRSMJOHNSN,500338,CEMENT AND CONSTRUCTION,CEMENT & CEMENT PRODUCTS,"1,846","1,745.40",92.4,5.03%,95.2,43.5,210,30.4,182.7,3.6,154.2,3.1
Procter & Gamble Hygiene & Healthcare Ltd.,PGHH,500459,FMCG,PERSONAL PRODUCTS,"1,154.10",853.5,284.9,25.03%,14.3,1.9,284.5,73.8,210.7,64.9,734.4,226.3
Punjab National Bank,PNB,532461,BANKING AND FINANCE,BANKS,"29,857","6,798.10","6,239.10",23.23%,0,"16,819.80","2,778.30","1,013.80","1,990.20",1.8,"5,904.80",5.4
Quess Corp Ltd.,QUESS,539978,SOFTWARE & SERVICES,BPO/KPO,"4,763.50","4,584.80",163.6,3.44%,69.7,28.1,79.3,8.3,71.9,4.8,240.9,16.2
RBL Bank Ltd.,RBLBANK,540065,BANKING AND FINANCE,BANKS,"3,720.60","1,422.60",765.4,25.45%,0,"1,532.60",125,-206.1,331.1,5.5,"1,173.90",19.5
Radico Khaitan Ltd.,RADICO,532497,FOOD BEVERAGES & TOBACCO,BREWERIES & DISTILLERIES,925.7,803.8,121.2,13.10%,26.1,12.5,83.3,21.4,64.8,4.8,237,17.7
Rain Industries Ltd.,RAIN,500339,CHEMICALS & PETROCHEMICALS,PETROCHEMICALS,"4,208.90","3,794.30",366,8.80%,192.5,241.7,-19.5,46.2,-90.2,-2.7,270.4,8
Rajesh Exports Ltd.,RAJESHEXPO,531500,TEXTILES APPARELS & ACCESSORIES,GEMS & JEWELLERY,"38,079.40","38,015.80",50.1,0.13%,10.7,0,53,7.7,45.3,1.5,"1,142.20",38.7
Rallis India Ltd.,RALLIS,500355,CHEMICALS & PETROCHEMICALS,AGROCHEMICALS,837,699,133,15.99%,26,3,110,28,82,4.2,98.4,5.2
Rashtriya Chemicals & Fertilizers Ltd.,RCF,524230,FERTILIZERS,FERTILIZERS,"4,222.10","4,049.30",105.9,2.55%,56.1,44,72.8,21.1,51,0.9,523.6,9.5
Redington Ltd.,REDINGTON,532805,COMMERCIAL SERVICES & SUPPLIES,COMMODITY TRADING  & DISTRIBUTION,"22,296.60","21,738.70",481.4,2.17%,43.7,105.8,408.3,96.7,303.5,3.9,"1,242",15.9
Relaxo Footwears Ltd.,RELAXO,530517,RETAILING,FOOTWEAR,725.9,623.8,91.5,12.79%,36.9,4.7,60.4,16.2,44.2,1.8,193.9,7.8
Reliance Industries Ltd.,RELIANCE,500325,OIL & GAS,REFINERIES/PETRO-PRODUCTS,"238,797","193,988","40,968",17.44%,"12,585","5,731","26,493","6,673","17,394",25.7,"68,496",101.2
REC Ltd.,RECLTD,532955,BANKING AND FINANCE,FINANCE (INCLUDING NBFCS),"11,701.30",275.1,"12,180.50",104.21%,6.1,"7,349.80","4,837.60","1,047.70","3,789.90",14.4,"12,738.60",48.4
SJVN Ltd.,SJVN,533206,UTILITIES,ELECTRIC UTILITIES,951.6,172.2,706.2,80.40%,101.9,124.2,567.7,129.2,439.6,1.1,"1,016",2.6
SKF India Ltd.,SKFINDIA,500472,GENERAL INDUSTRIALS,OTHER INDUSTRIAL GOODS,"1,145.50","1,003.70",121.5,10.80%,19.3,0.5,122,31.7,90,18.2,484,97.9
SRF Ltd.,SRF,503806,CHEMICALS & PETROCHEMICALS,SPECIALTY CHEMICALS,"3,206.50","2,551.20",626.2,19.71%,161.2,79.3,414.8,114,300.8,10.2,"1,733.40",58.5
Sanofi India Ltd.,SANOFI,500674,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,726.4,506.1,208.5,29.17%,9.9,0.3,210.1,57.9,152.1,66.1,596.3,259.3
Schaeffler India Ltd.,SCHAEFFLER,505790,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,"1,879.20","1,506.30",342,18.50%,55.6,1.6,315.7,80.7,235,15,922.6,59
Shree Cements Ltd.,SHREECEM,500387,CEMENT AND CONSTRUCTION,CEMENT & CEMENT PRODUCTS,"4,932.10","3,914.10",886,18.46%,411.7,67,539.2,92.6,446.6,123.8,"1,826.80",506.3
Shriram Finance Ltd.,SHRIRAMFIN,511218,BANKING AND FINANCE,FINANCE (INCLUDING NBFCS),"8,893","1,409.40","6,334.30",71.30%,141.4,"3,798","2,404.20",614.9,"1,786.10",47.6,"6,575.40",175.2
Siemens Ltd.,SIEMENS,500550,GENERAL INDUSTRIALS,HEAVY ELECTRICAL EQUIPMENT,"5,953.20","5,107.50",700.2,12.06%,78.6,4.9,762.2,190.5,571.3,16.1,"1,960.90",55.1
Sobha Ltd.,SOBHA,532784,REALTY,REALTY,773.6,665.8,75.4,10.18%,19.3,63.9,24.7,9.7,14.9,1.6,107.4,11.3
Solar Industries India Ltd.,SOLARINDS,532725,GENERAL INDUSTRIALS,OTHER INDUSTRIAL PRODUCTS,"1,355.20","1,011.30",336.1,24.95%,33.7,24.9,285.3,75.5,200.1,22.1,808.2,89.3
Sonata Software Ltd.,SONATSOFTW,532221,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,"1,935.80","1,715.20",197.3,10.32%,33.3,20.7,166.5,42.3,124.2,9,475.7,34.3
State Bank of India,SBIN,500112,BANKING AND FINANCE,BANKS,"144,256.10","58,597.60","22,703.30",21.14%,0,"62,955.20","21,935.70","5,552.50","17,196.20",18,"69,304.10",77.7
Steel Authority of India (SAIL) Ltd.,SAIL,500113,METALS & MINING,IRON & STEEL/INTERM.PRODUCTS,"29,858.20","25,836.70","3,875.40",13.04%,"1,326.60",605.2,"1,674.70",464.2,"1,305.60",3.2,"3,219.50",7.8
Sun Pharma Advanced Research Company Ltd.,SPARC,532872,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,29.7,112.7,-91.5,-431.87%,3.2,0.3,-86.4,0,-86.4,-2.7,-253.6,-7.8
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,524715,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,"12,486","9,013","3,179.40",26.08%,632.8,49.3,"2,790.90",390.1,"2,375.50",9.9,"8,548.50",35.6
Sun TV Network Ltd.,SUNTV,532733,MEDIA,BROADCASTING & CABLE TV,"1,160.20",320.6,727.8,69.42%,218.8,1.7,619.1,154.4,464.7,11.8,"1,861.80",47.2
Sundram Fasteners Ltd.,SUNDRMFAST,500403,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,"1,429.10","1,191.10",230.7,16.23%,54.5,7.4,176.2,43.1,131.9,6.3,502.9,23.9
Sunteck Realty Ltd.,SUNTECK,512179,REALTY,REALTY,36.2,39.1,-14.1,-56.70%,2.2,15.8,-20.9,-6.4,-13.9,-1,-46.5,-3.3
Supreme Industries Ltd.,SUPREMEIND,509930,GENERAL INDUSTRIALS,PLASTIC PRODUCTS,"2,321.40","1,952.50",356.2,15.43%,71.9,1.6,295.4,76.3,243.2,19.1,"1,028.20",80.9
Suzlon Energy Ltd.,SUZLON,ASM,GENERAL INDUSTRIALS,HEAVY ELECTRICAL EQUIPMENT,"1,428.70","1,196.40",225,15.83%,51.2,43.7,102.4,0.1,102.3,0.1,561.4,0.4
Syngene International Ltd.,SYNGENE,539268,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,931.7,656,254.1,27.92%,104.6,13,150.7,34.2,116.5,2.9,498.3,12.4
TTK Prestige Ltd.,TTKPRESTIG,517506,CONSUMER DURABLES,HOUSEWARE,747.2,648.6,80.8,11.08%,15.9,3.1,79.5,20.5,59.3,4.3,224.3,16.2
TV18 Broadcast Ltd.,TV18BRDCST,532800,MEDIA,BROADCASTING & CABLE TV,"1,989","1,992.20",-198.1,-11.04%,50.1,33.8,-87.1,-6.5,-28.9,-0.2,92.2,0.5
TVS Motor Company Ltd.,TVSMOTOR,532343,AUTOMOBILES & AUTO COMPONENTS,2/3 WHEELERS,"9,983.80","8,576.90","1,355.90",13.65%,237.1,483.3,686.4,259.8,386.3,8.1,"1,457.60",30.7
Tata Consultancy Services Ltd.,TCS,532540,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,"60,698","43,946","15,746",26.38%,"1,263",159,"15,330","3,950","11,342",31,"44,654",122
Tata Elxsi Ltd.,TATAELXSI,500408,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,912.8,618.2,263.5,29.89%,25,5.8,263.9,63.8,200,32.1,785.1,126.1
Tata Consumer Products Ltd.,TATACONSUM,500800,FMCG,PACKAGED FOODS,"3,823.60","3,196.70",537.1,14.38%,93.9,27.6,490.9,131.7,338.2,3.6,"1,275.20",13.7
Tata Motors Limited (DVR),TATAMTRDVR,570001,AUTOMOBILES & AUTO COMPONENTS,COMMERCIAL VEHICLES,,,,,,,,,,,,
Tata Motors Ltd.,TATAMOTORS,500570,AUTOMOBILES & AUTO COMPONENTS,COMMERCIAL VEHICLES,"106,759","91,361.30","13,766.90",13.10%,"6,636.40","2,651.70","5,985.90","2,202.80","3,764",9.8,"15,332.30",40
Tata Power Company Ltd.,TATAPOWER,500400,UTILITIES,ELECTRIC UTILITIES,"16,029.50","12,647","3,091",19.64%,925.9,"1,181.80",979.2,213.3,875.5,2.7,"3,570.80",11.2
Tata Steel Ltd.,TATASTEEL,500470,METALS & MINING,IRON & STEEL/INTERM.PRODUCTS,"55,910.20","51,414.10","4,267.80",7.66%,"2,479.80","1,959.40","-6,842.10",-228,"-6,196.20",-5.1,"-6,081.30",-5
